2024-08-07 16:52:10,392  | py-experimenter - INFO     | Found 4 keyfields
2024-08-09 14:26:04,142  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-09 14:26:04,143  | py-experimenter - INFO     | Initialized and connected to database
2024-08-09 14:26:04,195  | py-experimenter - INFO     | 12 rows successfully added to database. 0 rows were skipped.
2024-08-09 14:26:13,896  | py-experimenter - INFO     | All configured executions finished.
2024-08-09 14:53:44,320  | py-experimenter - INFO     | Found 4 keyfields
2024-08-09 14:53:44,320  | py-experimenter - INFO     | Found 3 resultfields
2024-08-09 14:53:44,320  | py-experimenter - WARNING  | No logtables given
2024-08-09 14:53:44,320  | py-experimenter - WARNING  | No custom section defined in config
2024-08-09 14:53:44,320  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-09 14:53:44,320  | py-experimenter - INFO     | Initialized and connected to database
2024-08-09 14:53:44,321  | py-experimenter - INFO     | No rows to add. All the 12 experiments already exist.
2024-08-09 14:53:58,638  | py-experimenter - INFO     | All configured executions finished.
2024-08-09 15:19:10,535  | py-experimenter - INFO     | Found 5 keyfields
2024-08-09 15:19:10,536  | py-experimenter - INFO     | Found 3 resultfields
2024-08-09 15:19:10,537  | py-experimenter - WARNING  | No logtables given
2024-08-09 15:19:10,538  | py-experimenter - WARNING  | No custom section defined in config
2024-08-09 15:19:10,538  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-09 15:19:10,540  | py-experimenter - INFO     | Initialized and connected to database
2024-08-09 15:19:10,587  | py-experimenter - INFO     | 12 rows successfully added to database. 0 rows were skipped.
2024-08-09 15:19:35,223  | py-experimenter - INFO     | All configured executions finished.
2024-08-09 15:20:04,260  | py-experimenter - INFO     | Found 5 keyfields
2024-08-09 15:20:04,260  | py-experimenter - INFO     | Found 3 resultfields
2024-08-09 15:20:04,260  | py-experimenter - WARNING  | No logtables given
2024-08-09 15:20:04,260  | py-experimenter - WARNING  | No custom section defined in config
2024-08-09 15:20:04,260  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-09 15:20:04,261  | py-experimenter - INFO     | Initialized and connected to database
2024-08-09 15:20:04,262  | py-experimenter - INFO     | No rows to add. All the 12 experiments already exist.
2024-08-09 15:31:13,878  | py-experimenter - INFO     | Found 5 keyfields
2024-08-09 15:31:13,878  | py-experimenter - INFO     | Found 3 resultfields
2024-08-09 15:31:13,878  | py-experimenter - WARNING  | No logtables given
2024-08-09 15:31:13,878  | py-experimenter - WARNING  | No custom section defined in config
2024-08-09 15:31:13,878  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-09 15:31:13,878  | py-experimenter - INFO     | Initialized and connected to database
2024-08-09 15:31:13,879  | py-experimenter - INFO     | No rows to add. All the 12 experiments already exist.
2024-08-09 15:31:49,806  | py-experimenter - INFO     | Found 5 keyfields
2024-08-09 15:31:49,806  | py-experimenter - INFO     | Found 3 resultfields
2024-08-09 15:31:49,806  | py-experimenter - WARNING  | No logtables given
2024-08-09 15:31:49,806  | py-experimenter - WARNING  | No custom section defined in config
2024-08-09 15:31:49,806  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-09 15:31:49,806  | py-experimenter - INFO     | Initialized and connected to database
2024-08-09 15:31:49,858  | py-experimenter - INFO     | 12 rows successfully added to database. 0 rows were skipped.
2024-08-09 15:31:55,872  | py-experimenter - INFO     | All configured executions finished.
2024-08-09 15:34:35,142  | py-experimenter - INFO     | Found 5 keyfields
2024-08-09 15:34:35,142  | py-experimenter - INFO     | Found 3 resultfields
2024-08-09 15:34:35,142  | py-experimenter - WARNING  | No logtables given
2024-08-09 15:34:35,142  | py-experimenter - WARNING  | No custom section defined in config
2024-08-09 15:34:35,142  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-09 15:34:35,142  | py-experimenter - INFO     | Initialized and connected to database
2024-08-09 15:34:35,143  | py-experimenter - INFO     | No rows to add. All the 12 experiments already exist.
2024-08-09 15:34:41,138  | py-experimenter - INFO     | All configured executions finished.
2024-08-09 15:35:31,729  | py-experimenter - INFO     | Found 5 keyfields
2024-08-09 15:35:31,730  | py-experimenter - INFO     | Found 3 resultfields
2024-08-09 15:35:31,730  | py-experimenter - WARNING  | No logtables given
2024-08-09 15:35:31,730  | py-experimenter - WARNING  | No custom section defined in config
2024-08-09 15:35:31,730  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-09 15:35:31,730  | py-experimenter - INFO     | Initialized and connected to database
2024-08-09 15:35:31,731  | py-experimenter - INFO     | No rows to add. All the 12 experiments already exist.
2024-08-09 15:35:38,551  | py-experimenter - INFO     | All configured executions finished.
2024-08-12 09:30:12,137  | py-experimenter - INFO     | Found 5 keyfields
2024-08-12 09:30:12,137  | py-experimenter - INFO     | Found 3 resultfields
2024-08-12 09:30:12,137  | py-experimenter - WARNING  | No logtables given
2024-08-12 09:30:12,137  | py-experimenter - WARNING  | No custom section defined in config
2024-08-12 09:30:12,137  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-12 09:30:12,137  | py-experimenter - INFO     | Initialized and connected to database
2024-08-12 09:30:12,138  | py-experimenter - INFO     | No rows to add. All the 12 experiments already exist.
2024-08-12 09:30:18,730  | py-experimenter - INFO     | All configured executions finished.
2024-08-12 09:36:38,300  | py-experimenter - INFO     | Found 5 keyfields
2024-08-12 09:36:38,300  | py-experimenter - INFO     | Found 3 resultfields
2024-08-12 09:36:38,300  | py-experimenter - WARNING  | No logtables given
2024-08-12 09:36:38,301  | py-experimenter - WARNING  | No custom section defined in config
2024-08-12 09:36:38,301  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-12 09:36:38,301  | py-experimenter - INFO     | Initialized and connected to database
2024-08-12 09:36:38,301  | py-experimenter - INFO     | No rows to add. All the 12 experiments already exist.
2024-08-12 09:36:44,382  | py-experimenter - INFO     | All configured executions finished.
2024-08-12 09:47:51,343  | py-experimenter - INFO     | Found 5 keyfields
2024-08-12 09:47:51,344  | py-experimenter - INFO     | Found 3 resultfields
2024-08-12 09:47:51,344  | py-experimenter - WARNING  | No logtables given
2024-08-12 09:47:51,344  | py-experimenter - WARNING  | No custom section defined in config
2024-08-12 09:47:51,344  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-12 09:47:51,344  | py-experimenter - INFO     | Initialized and connected to database
2024-08-12 09:47:51,344  | py-experimenter - INFO     | No rows to add. All the 12 experiments already exist.
2024-08-12 09:47:57,372  | py-experimenter - INFO     | All configured executions finished.
2024-08-12 09:48:51,065  | py-experimenter - INFO     | Found 5 keyfields
2024-08-12 09:48:51,065  | py-experimenter - INFO     | Found 3 resultfields
2024-08-12 09:48:51,065  | py-experimenter - WARNING  | No logtables given
2024-08-12 09:48:51,065  | py-experimenter - WARNING  | No custom section defined in config
2024-08-12 09:48:51,065  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-12 09:48:51,066  | py-experimenter - INFO     | Initialized and connected to database
2024-08-12 09:48:51,067  | py-experimenter - INFO     | No rows to add. All the 12 experiments already exist.
2024-08-12 09:48:58,728  | py-experimenter - INFO     | All configured executions finished.
2024-08-12 09:49:13,764  | py-experimenter - INFO     | Found 5 keyfields
2024-08-12 09:49:13,764  | py-experimenter - INFO     | Found 3 resultfields
2024-08-12 09:49:13,764  | py-experimenter - WARNING  | No logtables given
2024-08-12 09:49:13,764  | py-experimenter - WARNING  | No custom section defined in config
2024-08-12 09:49:13,764  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-12 09:49:13,764  | py-experimenter - INFO     | Initialized and connected to database
2024-08-12 09:49:13,765  | py-experimenter - INFO     | No rows to add. All the 12 experiments already exist.
2024-08-12 09:49:21,659  | py-experimenter - INFO     | All configured executions finished.
2024-08-12 15:38:15,686  | py-experimenter - INFO     | Found 6 keyfields
2024-08-12 15:38:15,686  | py-experimenter - INFO     | Found 8 resultfields
2024-08-12 15:38:15,686  | py-experimenter - WARNING  | No logtables given
2024-08-12 15:38:15,686  | py-experimenter - WARNING  | No custom section defined in config
2024-08-12 15:38:15,687  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-12 15:38:15,687  | py-experimenter - INFO     | Initialized and connected to database
2024-08-12 15:38:15,738  | py-experimenter - INFO     | 1 rows successfully added to database. 0 rows were skipped.
2024-08-12 15:38:21,981  | py-experimenter - INFO     | All configured executions finished.
2024-08-12 16:42:28,199  | py-experimenter - INFO     | Found 6 keyfields
2024-08-12 16:42:28,200  | py-experimenter - INFO     | Found 8 resultfields
2024-08-12 16:42:28,200  | py-experimenter - WARNING  | No logtables given
2024-08-12 16:42:28,200  | py-experimenter - WARNING  | No custom section defined in config
2024-08-12 16:42:28,200  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-12 16:42:28,200  | py-experimenter - INFO     | Initialized and connected to database
2024-08-12 16:42:28,201  | py-experimenter - INFO     | No rows to add. All the 1 experiments already exist.
2024-08-12 16:42:54,535  | py-experimenter - INFO     | Found 6 keyfields
2024-08-12 16:42:54,535  | py-experimenter - INFO     | Found 8 resultfields
2024-08-12 16:42:54,535  | py-experimenter - WARNING  | No logtables given
2024-08-12 16:42:54,535  | py-experimenter - WARNING  | No custom section defined in config
2024-08-12 16:42:54,535  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-12 16:42:54,536  | py-experimenter - INFO     | Initialized and connected to database
2024-08-12 16:42:54,588  | py-experimenter - INFO     | 1 rows successfully added to database. 0 rows were skipped.
2024-08-12 16:43:00,841  | py-experimenter - INFO     | All configured executions finished.
2024-08-12 16:43:25,132  | py-experimenter - INFO     | Found 6 keyfields
2024-08-12 16:43:25,133  | py-experimenter - INFO     | Found 8 resultfields
2024-08-12 16:43:25,133  | py-experimenter - WARNING  | No logtables given
2024-08-12 16:43:25,133  | py-experimenter - WARNING  | No custom section defined in config
2024-08-12 16:43:25,133  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-12 16:43:25,133  | py-experimenter - INFO     | Initialized and connected to database
2024-08-12 16:43:25,133  | py-experimenter - INFO     | No rows to add. All the 1 experiments already exist.
2024-08-12 16:43:34,705  | py-experimenter - INFO     | Found 6 keyfields
2024-08-12 16:43:34,705  | py-experimenter - INFO     | Found 8 resultfields
2024-08-12 16:43:34,705  | py-experimenter - WARNING  | No logtables given
2024-08-12 16:43:34,706  | py-experimenter - WARNING  | No custom section defined in config
2024-08-12 16:43:34,706  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-12 16:43:34,706  | py-experimenter - INFO     | Initialized and connected to database
2024-08-12 16:43:34,756  | py-experimenter - INFO     | 1 rows successfully added to database. 0 rows were skipped.
2024-08-12 16:43:40,990  | py-experimenter - INFO     | All configured executions finished.
2024-08-14 09:34:46,333  | py-experimenter - INFO     | Found 6 keyfields
2024-08-14 09:34:46,333  | py-experimenter - INFO     | Found 7 resultfields
2024-08-14 09:34:46,333  | py-experimenter - WARNING  | No logtables given
2024-08-14 09:34:46,333  | py-experimenter - WARNING  | No custom section defined in config
2024-08-14 09:34:46,333  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-14 09:34:46,333  | py-experimenter - INFO     | Initialized and connected to database
2024-08-14 09:34:46,386  | py-experimenter - INFO     | 6 rows successfully added to database. 0 rows were skipped.
2024-08-14 09:35:22,606  | py-experimenter - INFO     | All configured executions finished.
2024-08-14 12:04:25,657  | py-experimenter - INFO     | Found 5 keyfields
2024-08-14 12:04:25,667  | py-experimenter - INFO     | Found 9 resultfields
2024-08-14 12:04:25,667  | py-experimenter - WARNING  | No logtables given
2024-08-14 12:04:25,667  | py-experimenter - WARNING  | No custom section defined in config
2024-08-14 12:04:25,667  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-14 12:04:25,682  | py-experimenter - INFO     | Initialized and connected to database
2024-08-14 12:04:25,726  | py-experimenter - INFO     | 3 rows successfully added to database. 0 rows were skipped.
2024-08-14 12:05:54,622  | py-experimenter - INFO     | Found 5 keyfields
2024-08-14 12:05:54,623  | py-experimenter - INFO     | Found 9 resultfields
2024-08-14 12:05:54,623  | py-experimenter - WARNING  | No logtables given
2024-08-14 12:05:54,623  | py-experimenter - WARNING  | No custom section defined in config
2024-08-14 12:05:54,623  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-14 12:05:54,636  | py-experimenter - INFO     | Initialized and connected to database
2024-08-14 12:05:54,659  | py-experimenter - INFO     | No rows to add. All the 3 experiments already exist.
2024-08-14 12:05:59,427  | py-experimenter - ERROR    | Traceback (most recent call last):
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/lib/python3.11/site-packages/mysql/connector/connection_cext.py", line 705, in cmd_query
    self._cmysql.query(
_mysql_connector.MySQLInterfaceError: Out of range value for column 'mccv_seed' at row 1

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/lib/python3.11/site-packages/py_experimenter/database_connector.py", line 57, in execute
    cursor.execute(sql_statement, values)
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/lib/python3.11/site-packages/mysql/connector/cursor_cext.py", line 357, in execute
    result = self._connection.cmd_query(
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/lib/python3.11/site-packages/mysql/connector/opentelemetry/context_propagation.py", line 97, in wrapper
    return method(cnx, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/lib/python3.11/site-packages/mysql/connector/connection_cext.py", line 713, in cmd_query
    raise get_mysql_exception(
mysql.connector.errors.DataError: 1264 (22003): Out of range value for column 'mccv_seed' at row 1

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/lib/python3.11/site-packages/py_experimenter/experimenter.py", line 433, in _execute_experiment
    final_status = experiment_function(keyfield_values, result_processor, self.config.custom_configuration.custom_values)
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/experiments/cp_rank_experimenter.py", line 174, in worker
    result_processor.process_results(
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/lib/python3.11/site-packages/py_experimenter/result_processor.py", line 45, in process_results
    self.db_connector.update_database(self.database_config.table_name, values=results, condition=self.experiment_id_condition)
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/lib/python3.11/site-packages/py_experimenter/database_connector.py", line 314, in update_database
    self.execute(cursor, self._prepare_update_query(table_name, values.keys(), condition), list(values.values()))
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/lib/python3.11/site-packages/py_experimenter/database_connector.py", line 59, in execute
    raise DatabaseConnectionError(f"error \n{e}\n raised when executing sql statement.")
py_experimenter.exceptions.DatabaseConnectionError: error 
1264 (22003): Out of range value for column 'mccv_seed' at row 1
 raised when executing sql statement.

2024-08-14 12:06:01,064  | py-experimenter - ERROR    | Traceback (most recent call last):
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/lib/python3.11/site-packages/mysql/connector/connection_cext.py", line 705, in cmd_query
    self._cmysql.query(
_mysql_connector.MySQLInterfaceError: Out of range value for column 'mccv_seed' at row 1

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/lib/python3.11/site-packages/py_experimenter/database_connector.py", line 57, in execute
    cursor.execute(sql_statement, values)
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/lib/python3.11/site-packages/mysql/connector/cursor_cext.py", line 357, in execute
    result = self._connection.cmd_query(
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/lib/python3.11/site-packages/mysql/connector/opentelemetry/context_propagation.py", line 97, in wrapper
    return method(cnx, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/lib/python3.11/site-packages/mysql/connector/connection_cext.py", line 713, in cmd_query
    raise get_mysql_exception(
mysql.connector.errors.DataError: 1264 (22003): Out of range value for column 'mccv_seed' at row 1

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/lib/python3.11/site-packages/py_experimenter/experimenter.py", line 433, in _execute_experiment
    final_status = experiment_function(keyfield_values, result_processor, self.config.custom_configuration.custom_values)
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/experiments/cp_rank_experimenter.py", line 174, in worker
    result_processor.process_results(
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/lib/python3.11/site-packages/py_experimenter/result_processor.py", line 45, in process_results
    self.db_connector.update_database(self.database_config.table_name, values=results, condition=self.experiment_id_condition)
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/lib/python3.11/site-packages/py_experimenter/database_connector.py", line 314, in update_database
    self.execute(cursor, self._prepare_update_query(table_name, values.keys(), condition), list(values.values()))
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/lib/python3.11/site-packages/py_experimenter/database_connector.py", line 59, in execute
    raise DatabaseConnectionError(f"error \n{e}\n raised when executing sql statement.")
py_experimenter.exceptions.DatabaseConnectionError: error 
1264 (22003): Out of range value for column 'mccv_seed' at row 1
 raised when executing sql statement.

2024-08-14 12:06:01,695  | py-experimenter - ERROR    | Traceback (most recent call last):
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/lib/python3.11/site-packages/mysql/connector/connection_cext.py", line 705, in cmd_query
    self._cmysql.query(
_mysql_connector.MySQLInterfaceError: Out of range value for column 'mccv_seed' at row 1

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/lib/python3.11/site-packages/py_experimenter/database_connector.py", line 57, in execute
    cursor.execute(sql_statement, values)
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/lib/python3.11/site-packages/mysql/connector/cursor_cext.py", line 357, in execute
    result = self._connection.cmd_query(
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/lib/python3.11/site-packages/mysql/connector/opentelemetry/context_propagation.py", line 97, in wrapper
    return method(cnx, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/lib/python3.11/site-packages/mysql/connector/connection_cext.py", line 713, in cmd_query
    raise get_mysql_exception(
mysql.connector.errors.DataError: 1264 (22003): Out of range value for column 'mccv_seed' at row 1

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/lib/python3.11/site-packages/py_experimenter/experimenter.py", line 433, in _execute_experiment
    final_status = experiment_function(keyfield_values, result_processor, self.config.custom_configuration.custom_values)
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/experiments/cp_rank_experimenter.py", line 174, in worker
    result_processor.process_results(
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/lib/python3.11/site-packages/py_experimenter/result_processor.py", line 45, in process_results
    self.db_connector.update_database(self.database_config.table_name, values=results, condition=self.experiment_id_condition)
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/lib/python3.11/site-packages/py_experimenter/database_connector.py", line 314, in update_database
    self.execute(cursor, self._prepare_update_query(table_name, values.keys(), condition), list(values.values()))
  File "/home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/lib/python3.11/site-packages/py_experimenter/database_connector.py", line 59, in execute
    raise DatabaseConnectionError(f"error \n{e}\n raised when executing sql statement.")
py_experimenter.exceptions.DatabaseConnectionError: error 
1264 (22003): Out of range value for column 'mccv_seed' at row 1
 raised when executing sql statement.

2024-08-14 12:12:03,116  | py-experimenter - INFO     | Found 5 keyfields
2024-08-14 12:12:03,116  | py-experimenter - INFO     | Found 9 resultfields
2024-08-14 12:12:03,116  | py-experimenter - WARNING  | No logtables given
2024-08-14 12:12:03,116  | py-experimenter - WARNING  | No custom section defined in config
2024-08-14 12:12:03,116  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-14 12:12:03,129  | py-experimenter - INFO     | Initialized and connected to database
