,seed,num_clf_data,alpha,method,avg_set_size,coverage_rate
41,1,20,0.05,thr,2.3360002040863037,0.9399999976158142
42,1,20,0.1,thr,1.9920001029968262,0.8759999871253967
43,1,20,0.2,thr,1.4160000085830688,0.7440000176429749
44,1,20,0.02,ranker,2.2680001258850098,0.9800000190734863
45,1,20,0.05,ranker,1.6040000915527344,0.9160000085830688
46,1,20,0.1,ranker,1.4840000867843628,0.8759999871253967
47,1,20,0.2,ranker,1.156000018119812,0.7559999823570251
48,1,30,0.02,rand_aps,2.992000102996826,0.9959999918937683
49,1,30,0.05,rand_aps,2.4880001544952393,0.9440000057220459
50,1,30,0.1,rand_aps,1.6680001020431519,0.8679999709129333
51,1,30,0.2,rand_aps,1.1880000829696655,0.7480000257492065
52,1,30,0.02,aps,2.948000192642212,0.9959999918937683
53,1,30,0.05,aps,2.948000192642212,0.9959999918937683
54,1,30,0.1,aps,2.948000192642212,0.9959999918937683
55,1,30,0.2,aps,2.948000192642212,0.9959999918937683
56,1,30,0.02,thr,3.000000238418579,1.0
57,1,30,0.05,thr,2.4600000381469727,0.9440000057220459
58,1,30,0.1,thr,1.6480001211166382,0.871999979019165
59,1,30,0.2,thr,1.1160000562667847,0.7319999933242798
60,1,30,0.02,ranker,2.2200000286102295,0.9679999947547913
61,1,30,0.05,ranker,1.7960001230239868,0.9079999923706055
62,1,30,0.1,ranker,1.3880000114440918,0.8519999980926514
63,1,30,0.2,ranker,1.100000023841858,0.7519999742507935
64,1,50,0.02,rand_aps,2.2200000286102295,0.9760000109672546
65,1,50,0.05,rand_aps,1.812000036239624,0.9599999785423279
66,1,50,0.1,rand_aps,1.4280000925064087,0.8679999709129333
67,1,50,0.2,rand_aps,1.2400000095367432,0.8040000200271606
68,1,50,0.02,aps,2.940000057220459,0.9879999756813049
69,1,50,0.05,aps,2.940000057220459,0.9879999756813049
70,1,50,0.1,aps,2.940000057220459,0.9879999756813049
71,1,50,0.2,aps,1.6720000505447388,0.8320000171661377
72,1,50,0.02,thr,2.0199999809265137,0.972000002861023
73,1,50,0.05,thr,1.7720000743865967,0.9599999785423279
74,1,50,0.1,thr,1.340000033378601,0.8519999980926514
75,1,50,0.2,thr,1.0920000076293945,0.7559999823570251
76,1,50,0.02,ranker,2.06000018119812,0.9639999866485596
77,1,50,0.05,ranker,1.6160000562667847,0.9120000004768372
78,1,50,0.1,ranker,1.3600000143051147,0.8560000061988831
79,1,50,0.2,ranker,1.0760000944137573,0.7440000176429749
80,1,70,0.02,rand_aps,2.192000150680542,0.9760000109672546
81,1,70,0.05,rand_aps,1.7160000801086426,0.9319999814033508
82,1,70,0.1,rand_aps,1.540000081062317,0.8920000195503235
83,1,70,0.2,rand_aps,1.3000000715255737,0.8040000200271606
84,1,70,0.02,aps,1.9640001058578491,0.9599999785423279
85,1,70,0.05,aps,1.6800000667572021,0.9279999732971191
86,1,70,0.1,aps,1.5520000457763672,0.8840000033378601
87,1,70,0.2,aps,1.28000009059906,0.7599999904632568
88,1,70,0.02,thr,2.2760000228881836,0.9800000190734863
89,1,70,0.05,thr,1.7080000638961792,0.9279999732971191
90,1,70,0.1,thr,1.4320000410079956,0.8679999709129333
91,1,70,0.2,thr,1.128000020980835,0.7639999985694885
92,1,70,0.02,ranker,2.076000213623047,0.9639999866485596
93,1,70,0.05,ranker,1.7000000476837158,0.9039999842643738
94,1,70,0.1,ranker,1.4440001249313354,0.8360000252723694
95,1,70,0.2,ranker,1.224000096321106,0.7480000257492065
96,1,100,0.02,rand_aps,2.1720001697540283,0.9800000190734863
97,1,100,0.05,rand_aps,1.6800000667572021,0.9079999923706055
98,1,100,0.1,rand_aps,1.4440001249313354,0.843999981880188
99,1,100,0.2,rand_aps,1.3680000305175781,0.7919999957084656
100,1,100,0.02,aps,2.2840001583099365,0.9679999947547913
101,1,100,0.05,aps,1.7000000476837158,0.9120000004768372
102,1,100,0.1,aps,1.6120001077651978,0.8640000224113464
103,1,100,0.2,aps,1.3600000143051147,0.7720000147819519
104,1,100,0.02,thr,1.6680001020431519,0.9319999814033508
105,1,100,0.05,thr,1.6160000562667847,0.9120000004768372
106,1,100,0.1,thr,1.3680000305175781,0.8479999899864197
107,1,100,0.2,thr,1.1080000400543213,0.7519999742507935
108,1,100,0.02,ranker,1.908000111579895,0.9520000219345093
109,1,100,0.05,ranker,1.7320001125335693,0.8840000033378601
110,1,100,0.1,ranker,1.600000023841858,0.828000009059906
111,1,100,0.2,ranker,1.4440001249313354,0.7400000095367432
